"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2669540"	3761.2193125	3442.0161875	3761.2193125	3469.855625	4729.1003125	3937.3581875	3612.062	3513.9283125	3523.8733125	4026.5495625	3469.855625	3350.0475625	3701.24375	3306.58425	3469.855625	3598.82025
"ILMN_3116330"	2854.01125	2697.970125	2989.498	2827.7445625	3343.441125	2827.7445625	2827.7445625	3117.95425	3097.4584375	3330.385125	2867.9606875	2898.0708125	2798.007875	2961.6290625	3061.8775625	2854.01125
"ILMN_1223358"	770.86421875	714.822675	825.71355625	803.67116875	702.784375	708.58986875	715.899675	805.34804375	835.47774375	813.95219375	879.30458125	723.8065125	709.83329375	822.8856875	805.34804375	726.5232875
"ILMN_1240471"	5909.277875	6158.776375	5232.6154375	4218.05075	6058.9016875	6058.9016875	6290.24225	4419.230375	5208.2486875	5875.1608125	4789.1378125	5563.0125625	6210.4018125	5283.5250625	4247.6826875	5432.1208125
"ILMN_2769680"	1499.3388125	1492.257625	1483.54425	1170.59585625	1371.79743125	1479.4730625	1746.5230625	1045.07010625	1204.60871875	1354.34208125	1241.1790375	1458.951875	1536.2146875	1300.52404375	1110.04635625	1253.17414375
"ILMN_1255473"	1249.08265625	1346.2142	1154.7735125	1435.8101875	1172.46564375	1334.8682125	1394.1235125	1572.2295625	1428.524	1219.9291875	1376.17988125	1415.3043625	1382.702325	1303.7116	1253.17414375	1357.10996875
"ILMN_2915716"	150.37110625	130.76800625	123.97418125	141.91661875	167.4655125	124.47621875	163.64845625	137.01285	130.36976875	128.80449375	145.61169375	129.57466875	135.283975	162.05531875	125.99110625	130.618125
"ILMN_1254001"	945.78110625	1032.07013125	1077.78473125	1180.604725	1321.35028125	1131.15279375	1068.8899	1202.76246875	1059.94405	1019.3040625	962.397525	1025.38715	1014.6866125	1065.3506625	1125.43935625	1204.60871875
"ILMN_2665198"	289.51720625	304.0222125	308.46138125	300.74229375	269.9456875	270.64926875	306.5607625	298.4882625	303.483375	279.37680625	347.93013125	259.42550625	268.4554125	292.9288	306.98319375	290.51439375
"ILMN_2693895"	19933.958125	19420.533125	15936.1675	11542.181125	12601.4119375	14639.404375	24154.835	10028.724375	15117.95875	23047.061875	21818.649375	17954.566875	22392.400625	15117.95875	18214.775	19059.6
"ILMN_2639189"	124.21180625	119.077958125	134.09401875	122.57942625	121.906201875	159.8800125	124.21180625	132.92771875	123.916625	139.96889375	113.369824375	126.9317625	132.69996875	113.618420625	122.201485625	129.74069375
"ILMN_2776681"	555.8922625	569.84161875	731.98135	613.95905625	854.99735625	553.2030125	624.3748875	588.19000625	520.20643125	694.11808125	581.90118125	600.65928125	592.887675	513.767075	596.12970625	587.318
